"tiempo(us)";"voltaje(mv)";"tiempo(us)";"A*sin(omega*t+phi)"
15.347;96.223;15.347;153.330250541696
75.121;453.77;75.121;647.927843525892
126.01;711.46;126.01;799.935565770894
146.2;794.58;146.2;771.778419502354
165.59;862.62;165.59;698.168663618063
173.67;885.48;173.67;654.98188978032
187.4;923.03;187.4;566.395839385002
201.94;953.63;201.94;454.311773419905
216.48;975.99;216.48;327.102756994046
231.83;991.8;231.83;181.081690247179
247.98;999.09;247.98;20.3050741499304
262.52;995.88;262.52;-125.346154601421
268.98;991.8;268.98;-189.003833494304
279.48;981.24;279.48;-289.632880195683
289.18;968.74;289.18;-378.158737636779
294.83;958.71;294.83;-427.217480220998
303.72;942.94;303.72;-499.958717264073
327.95;881.73;327.95;-664.196671997309
344.91;827.17;344.91;-743.487641822132
369.14;731.82;369.14;-797.83190309856
386.11;655.96;386.11;-792.216009494492
400.65;583.61;400.65;-758.800578915268
416.8;498.29;416.8;-692.149144412596
434.57;398.84;434.57;-586.125555504506
464.46;221.35;464.46;-345.527562514166
479.81;126.31;479.81;-200.801420289416
491.92;50.671;491.92;-81.0895182603072
501.62;-10.169;501.62;16.284891440928
516.16;-101.14;516.16;161.34375279378
537.96;-235.86;537.96;367.306701208205
563;-385.29;563;569.228541767428
578.35;-471.81;578.35;666.429699597032
598.55;-579.34;598.55;756.21462273986
609.05;-632.06;609.05;783.984272353511
631.66;-734.84;631.66;797.199892744977
657.51;-834.27;657.51;734.163769089591
684.98;-917.48;684.98;583.312519879601
701.13;-951.93;701.13;460.990670812257
716.48;-975.99;716.48;327.102756994046
746.37;-999.45;746.37;36.4800858215241
775.44;-985.3;775.44;-251.416662844396
800.48;-948.67;800.48;-474.123524393711
824.72;-891.51;824.72;-645.555055206074
844.91;-827.17;844.91;-743.487641822131
867.53;-739.02;867.53;-796.477897483802
886.91;-651.94;886.91;-791.056810838205
899.84;-587.63;899.84;-761.340727235048
927.3;-440.8;927.3;-633.354334933953
946.69;-328.62;946.69;-496.73437012521
973.34;-166.41;973.34;-263.030023755868
